# x_m,y_m,w_tr_right_m,w_tr_left_m
5.2100,22.9000,0.4000,0.4000
5.1600,22.9500,0.4000,0.4000
5.1600,23.0000,0.4000,0.4000
4.5100,23.6500,0.4000,0.4000
4.5100,23.7000,0.4000,0.4000
3.8600,24.3500,0.4000,0.4000
3.8600,24.4000,0.4000,0.4000
3.5600,24.7000,0.4000,0.4000
3.5600,24.7500,0.4000,0.4000
3.4600,24.8500,0.4000,0.4000
3.4600,24.9000,0.4000,0.4000
3.2600,25.1000,0.4000,0.4000
3.2600,25.1500,0.4000,0.4000
3.0100,25.4000,0.4000,0.4000
3.0100,25.4500,0.4000,0.4000
2.7600,25.7000,0.4000,0.4000
2.7600,25.7500,0.4000,0.4000
2.5600,25.9500,0.4000,0.4000
2.5600,26.0000,0.4000,0.4000
2.3100,26.2500,0.4000,0.4000
2.3100,26.3000,0.4000,0.4000
2.0600,26.5500,0.4000,0.4000
2.0600,26.6000,0.4000,0.4000
1.8600,26.8000,0.4000,0.4000
1.8600,26.8500,0.4000,0.4000
1.6100,27.1000,0.4000,0.4000
1.6100,27.1500,0.4000,0.4000
1.3600,27.4000,0.4000,0.4000
1.3600,27.4500,0.4000,0.4000
1.1100,27.7000,0.4000,0.4000
1.1100,27.7500,0.4000,0.4000
0.9100,27.9500,0.4000,0.4000
0.9100,28.0000,0.4000,0.4000
0.6600,28.2500,0.4000,0.4000
0.6600,28.3000,0.4000,0.4000
0.4100,28.5500,0.4000,0.4000
0.4100,28.6000,0.4000,0.4000
0.1600,28.8500,0.4000,0.4000
0.1600,28.9000,0.4000,0.4000
-0.0400,29.1000,0.4000,0.4000
-0.1900,29.1000,0.4000,0.4000
-0.3400,28.9500,0.4000,0.4000
-0.3900,28.9500,0.4000,0.4000
-0.5400,28.8000,0.4000,0.4000
-0.5900,28.8000,0.4000,0.4000
-0.7400,28.6500,0.4000,0.4000
-0.7900,28.6500,0.4000,0.4000
-0.8900,28.5500,0.4000,0.4000
-0.9400,28.5500,0.4000,0.4000
-1.0900,28.4000,0.4000,0.4000
-1.1400,28.4000,0.4000,0.4000
-1.2900,28.2500,0.4000,0.4000
-1.3400,28.2500,0.4000,0.4000
-1.4900,28.1000,0.4000,0.4000
-1.5400,28.1000,0.4000,0.4000
-1.6400,28.0000,0.4000,0.4000
-1.6900,28.0000,0.4000,0.4000
-1.8400,27.8500,0.4000,0.4000
-1.8900,27.8500,0.4000,0.4000
-2.0400,27.7000,0.4000,0.4000
-2.0900,27.7000,0.4000,0.4000
-2.2400,27.5500,0.4000,0.4000
-2.2900,27.5500,0.4000,0.4000
-2.3400,27.6000,0.4000,0.4000
-2.3900,27.6000,0.4000,0.4000
-2.6400,27.8500,0.4000,0.4000
-2.6400,27.9000,0.4000,0.4000
-2.9400,28.2000,0.4000,0.4000
-2.9400,28.2500,0.4000,0.4000
-3.2900,28.6000,0.4000,0.4000
-3.2900,28.6500,0.4000,0.4000
-3.6400,29.0000,0.4000,0.4000
-3.6400,29.0500,0.4000,0.4000
-3.6900,29.1000,0.4000,0.4000
-3.6900,29.2500,0.4000,0.4000
-3.5900,29.3500,0.4000,0.4000
-3.5400,29.3500,0.4000,0.4000
-3.3400,29.5500,0.4000,0.4000
-3.2900,29.5500,0.4000,0.4000
-3.0900,29.7500,0.4000,0.4000
-3.0400,29.7500,0.4000,0.4000
-2.8400,29.9500,0.4000,0.4000
-2.7900,29.9500,0.4000,0.4000
-2.5900,30.1500,0.4000,0.4000
-2.5400,30.1500,0.4000,0.4000
-2.3400,30.3500,0.4000,0.4000
-2.2900,30.3500,0.4000,0.4000
-2.0900,30.5500,0.4000,0.4000
-2.0400,30.5500,0.4000,0.4000
-1.8400,30.7500,0.4000,0.4000
-1.7900,30.7500,0.4000,0.4000
-1.6400,30.9000,0.4000,0.4000
-1.5900,30.9000,0.4000,0.4000
-1.3900,31.1000,0.4000,0.4000
-1.3400,31.1000,0.4000,0.4000
-1.1400,31.3000,0.4000,0.4000
-1.0900,31.3000,0.4000,0.4000
-0.8900,31.5000,0.4000,0.4000
-0.8400,31.5000,0.4000,0.4000
-0.6400,31.7000,0.4000,0.4000
-0.5900,31.7000,0.4000,0.4000
-0.3900,31.9000,0.4000,0.4000
-0.3400,31.9000,0.4000,0.4000
-0.0900,32.1500,0.4000,0.4000
0.1100,32.1500,0.4000,0.4000
0.4100,31.8500,0.4000,0.4000
0.4100,31.8000,0.4000,0.4000
0.7100,31.5000,0.4000,0.4000
0.7100,31.4500,0.4000,0.4000
1.0100,31.1500,0.4000,0.4000
1.0100,31.1000,0.4000,0.4000
1.3600,30.7500,0.4000,0.4000
1.3600,30.7000,0.4000,0.4000
1.6600,30.4000,0.4000,0.4000
1.6600,30.3500,0.4000,0.4000
1.9600,30.0500,0.4000,0.4000
1.9600,30.0000,0.4000,0.4000
2.3100,29.6500,0.4000,0.4000
2.3100,29.6000,0.4000,0.4000
2.6100,29.3000,0.4000,0.4000
2.6100,29.2500,0.4000,0.4000
2.9100,28.9500,0.4000,0.4000
2.9100,28.9000,0.4000,0.4000
3.2600,28.5500,0.4000,0.4000
3.2600,28.5000,0.4000,0.4000
3.5600,28.2000,0.4000,0.4000
3.5600,28.1500,0.4000,0.4000
3.9100,27.8000,0.4000,0.4000
3.9100,27.7500,0.4000,0.4000
4.2100,27.4500,0.4000,0.4000
4.2100,27.4000,0.4000,0.4000
4.5100,27.1000,0.4000,0.4000
4.5100,27.0500,0.4000,0.4000
4.8600,26.7000,0.4000,0.4000
4.8600,26.6500,0.4000,0.4000
5.1600,26.3500,0.4000,0.4000
5.1600,26.3000,0.4000,0.4000
5.4600,26.0000,0.4000,0.4000
5.4600,25.9500,0.4000,0.4000
5.8100,25.6000,0.4000,0.4000
5.8100,25.5500,0.4000,0.4000
6.1100,25.2500,0.4000,0.4000
6.1100,25.2000,0.4000,0.4000
6.4100,24.9000,0.4000,0.4000
6.4100,24.8500,0.4000,0.4000
6.7600,24.5000,0.4000,0.4000
6.7600,24.4500,0.4000,0.4000
6.8600,24.3500,0.4000,0.4000
6.8600,24.2000,0.4000,0.4000
6.4600,23.8000,0.4000,0.4000
6.4100,23.8000,0.4000,0.4000
6.0600,23.4500,0.4000,0.4000
6.0100,23.4500,0.4000,0.4000
5.6100,23.0500,0.4000,0.4000
5.5600,23.0500,0.4000,0.4000
5.4100,22.9000,0.4000,0.4000
