# c4b58eb0-2f43-4456-ab4a-0e78d4575173
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.1210983; 23.3653753; -1.7763514; 0.4235419; 3.8043283; -4.3208275
0.1995100; 5.3180396; 23.3342876; -1.6717254; 0.6223974; 3.5705486; -3.0226379
0.3990200; 5.5170140; 23.3276981; -1.5303311; 0.7978042; 3.3974585; -1.8099608
0.5985300; 5.7149248; 23.3528395; -1.3528827; 0.9617869; 3.2894549; -0.2152664
0.7980400; 5.9041139; 23.4152290; -1.1463987; 1.1178786; 3.2763727; -0.2152664
0.9975500; 6.0754434; 23.5168139; -0.9259245; 1.0927914; 3.2632380; 0.1496235
1.1970600; 6.2206560; 23.6526505; -0.7170946; 0.9383869; 3.2723730; 1.7366130
1.3965700; 6.3382650; 23.8132545; -0.5546771; 0.7185347; 3.3765912; 3.5790840
1.5960800; 6.4317282; 23.9894940; -0.4254151; 0.5728091; 3.5818284; -0.3553552
1.7955900; 6.5029285; 24.1748293; -0.3035772; 0.6862327; 3.5619799; -2.4122515
1.9951000; 6.5484932; 24.3693747; -0.1515888; 0.8377605; 3.4242027; -0.2332638
2.1946100; 6.5607869; 24.5689058; 0.0350279; 1.0316291; 3.4105846; -0.2332638
2.3941200; 6.5337640; 24.7655439; 0.2371759; 1.0056183; 3.3969119; 0.1647631
2.5936300; 6.4681151; 24.9533026; 0.4320146; 0.8981403; 3.4065751; 1.3445875
2.7931400; 6.3694594; 25.1274893; 0.5923862; 0.7110866; 3.4844327; 3.1230298
2.9926500; 6.2482405; 25.2855664; 0.7068402; 0.4406465; 3.6588827; 5.0315356
3.1921599; 6.1126363; 25.4332203; 0.7710268; 0.2031309; 3.9236598; 4.9912746
3.3916699; 5.9720399; 25.5743682; 0.7878726; -0.0376885; 4.1697391; 4.9513357
3.5911799; 5.8313647; 25.7167186; 0.7686796; -0.1280362; 4.4002734; 4.9117165
3.7906899; 5.6953295; 25.8615618; 0.7379854; -0.1665823; 4.6176054; 4.8724142
3.9901999; 5.5636602; 26.0112013; 0.7054984; -0.1583170; 4.8235329; 4.8334264
4.1897099; 5.4369130; 26.1646909; 0.6756182; -0.1407080; 5.0194725; 4.7947506
