# 65a05477-c879-4b31-b1be-fadce17b1e03
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.1812863; 23.5882137; 1.5988030; -0.6677417; 3.4487339; 3.8195254
0.1993054; 4.9847140; 23.5961072; 1.4599935; -0.7442889; 3.6628227; 1.7453767
0.3986108; 4.7891549; 23.6330604; 1.3079660; -0.7545881; 3.7565937; 1.0682613
0.5979162; 4.5994520; 23.6997551; 1.1580980; -0.7225149; 3.8128489; 1.2046771
0.7972216; 4.4241609; 23.7905048; 1.0340206; -0.5417834; 3.8753082; 3.5623258
0.9965270; 4.2578639; 23.9009319; 0.9388549; -0.4327840; 4.0543798; 4.5562595
1.1958324; 4.1014996; 24.0256546; 0.8579443; -0.3784893; 4.2724899; 4.7249320
1.3951379; 3.9562004; 24.1607273; 0.7871510; -0.3367728; 4.4874914; 4.8143836
1.5944433; 3.8184818; 24.3072494; 0.7227917; -0.3048194; 4.6964502; 4.8343954
1.7937487; 3.6919337; 24.4594210; 0.6657377; -0.2724413; 4.8973142; 4.8190437
1.9930541; 3.5721410; 24.6205472; 0.6137545; -0.2454190; 5.0896571; 4.7805225
2.1923595; 3.4615895; 24.7854024; 0.5689494; -0.2071364; 5.2735356; 4.7423093
2.3916649; 3.3570715; 24.9561259; 0.5308504; -0.1724973; 5.4498177; 4.7044015
2.5909703; 3.2588453; 25.1296047; 0.5010783; -0.1268328; 5.6192293; 4.6667967
2.7902757; 3.1649468; 25.3057041; 0.4800882; -0.0830103; 5.7823848; 4.6294925
2.9895811; 3.0737165; 25.4838037; 0.4683208; -0.0343544; 5.9398097; 4.5924865
3.1888865; 2.9841553; 25.6616257; 0.4665007; 0.0159591; 6.0919582; 4.5557763
3.3881919; 2.8933983; 25.8403770; 0.4749004; 0.0693016; 6.2392256; 4.5193596
3.5874973; 2.8008432; 26.0165349; 0.4944682; 0.1226630; 6.3819591; 4.4832339
3.7868027; 2.7038131; 26.1907767; 0.5232057; 0.1668355; 6.5204653; 4.0541408
3.9861082; 2.6010561; 26.3617114; 0.5602863; 0.1972785; 6.6432290; -0.3795151
4.1854136; 2.4927138; 26.5269630; 0.6008602; 0.2128661; 6.6318333; -3.5187561
4.3847190; 2.3757806; 26.6899085; 0.6442363; 0.2189038; 6.5252279; -3.5246549
4.5840244; 2.2529902; 26.8461348; 0.6881703; 0.2232688; 6.4166684; -3.6222525
4.7833298; 2.1232592; 26.9969076; 0.7330219; 0.2276171; 6.3031551; -3.7174603
4.9826352; 1.9860392; 27.1425039; 0.7784512; 0.2251989; 6.1844922; -4.1036019
5.1819406; 1.8432753; 27.2809646; 0.8227551; 0.2190272; 6.0508019; -4.6469002
5.3812460; 1.6948900; 27.4128698; 0.8650955; 0.2068429; 5.8957527; -5.4542343
5.5805514; 1.5401201; 27.5393790; 0.9057356; 0.1990933; 5.7083958; -6.1505981
5.7798568; 1.3814287; 27.6588858; 0.9452384; 0.2070749; 5.4894524; -5.9145674
5.9791622; 1.2180398; 27.7717302; 0.9883003; 0.2391393; 5.2703394; -4.3913563
6.1784676; 1.0486885; 27.8769470; 1.0438757; 0.3124009; 5.1015718; -1.8115471
6.3777730; 0.8746529; 27.9703654; 1.1163289; 0.4226965; 5.0303015; -0.5914320
6.5770785; 0.6924654; 28.0495160; 1.2073189; 0.4751550; 5.0068135; -0.5656537
6.7763839; 0.5010181; 28.1119921; 1.3033735; 0.4746032; 4.9842458; -0.4942319
6.9756893; 0.3092765; 28.1549817; 1.3975453; 0.4869004; 4.9644436; -0.4942319
7.1749947; 0.1096884; 28.1797761; 1.4971338; 0.4867354; 4.9445620; -0.3903267
7.3743001; -0.0886611; 28.1851735; 1.5883825; 0.4362496; 4.9288036; 0.9149820
7.5736055; -0.2882231; 28.1732431; 1.6703013; 0.3649261; 4.9656648; 2.5072403
7.7729109; -0.4859976; 28.1468696; 1.7332614; 0.2695515; 5.0652976; 4.5695358
7.9722163; -0.6824227; 28.1098254; 1.7776353; 0.1661824; 5.2420136; 2.6812030
8.1715217; -0.8772868; 28.0663076; 1.7997594; 0.0568242; 5.3429826; -10.9446545
