# 028cae39-5a26-4dee-952b-bfaee2b9f75a
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.3163916; 23.1915731; 1.6460422; -0.8671134; 3.6668930; 0.0710616
0.1996372; 5.1170890; 23.1929828; 1.4857360; -0.7376599; 3.6707598; 1.7902082
0.3992744; 4.9203742; 23.2236361; 1.3497709; -0.6425678; 3.7668637; 2.5978935
0.5989116; 4.7285156; 23.2794155; 1.2282521; -0.5760264; 3.9021192; 2.9237692
0.7985488; 4.5450703; 23.3566770; 1.1173619; -0.5379886; 4.0489407; 2.8515031
0.9981860; 4.3708239; 23.4531911; 1.0137991; -0.5013157; 4.1871772; 2.8591202
1.1978232; 4.2061553; 23.5673241; 0.9167527; -0.4656482; 4.3213454; 2.9299934
1.3974604; 4.0539149; 23.6951624; 0.8296502; -0.4115697; 4.4546490; 3.4349132
1.5970976; 3.9121372; 23.8355437; 0.7531655; -0.3481052; 4.6060146; 4.1893767
1.7967348; 3.7798702; 23.9861338; 0.6906066; -0.2776949; 4.7841490; 4.8410144
1.9963720; 3.6571601; 24.1424233; 0.6433399; -0.1974864; 4.9820653; 4.8022532
2.1960092; 3.5397640; 24.3047665; 0.6110936; -0.1344714; 5.1709179; 4.7638023
2.3956464; 3.4275359; 24.4693916; 0.5862461; -0.1152855; 5.3516778; 4.7256593
2.5952836; 3.3188666; 24.6369744; 0.5647507; -0.1025092; 5.5251507; 4.6878217
2.7949208; 3.2135430; 24.8069470; 0.5449683; -0.0955205; 5.6920135; 4.6502871
2.9945580; 3.1117680; 24.9783781; 0.5269621; -0.0838207; 5.8528419; 4.6130530
3.1941952; 3.0124227; 25.1522932; 0.5114464; -0.0713071; 6.0081305; 4.5761170
3.3938325; 2.9160513; 25.3266645; 0.4989229; -0.0542970; 6.1583081; 4.5394768
3.5934697; 2.8211826; 25.5028052; 0.4897205; -0.0374416; 6.3037493; 4.5031299
3.7931069; 2.7278745; 25.6791684; 0.4841804; -0.0181832; 6.4447840; 4.4670741
3.9927441; 2.6350550; 25.8561615; 0.4824473; 0.0009726; 6.5817041; 4.4313069
4.1923813; 2.5422662; 26.0330085; 0.4846075; 0.0206985; 6.7147700; 4.3958262
4.3920185; 2.4486933; 26.2095710; 0.4907031; 0.0398752; 6.8442148; 4.3606295
4.5916557; 2.3538093; 26.3852121; 0.5005219; 0.0586616; 6.9702485; 4.3257146
