# e5cd9440-454f-45a6-85fd-decce8885e34
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.2749985; 23.0900100; 1.2836420; -5.0826027; 2.2490203; 1.4324082
0.0997651; 5.1891069; 23.1346080; 0.9529558; -1.9558473; 2.3116879; 1.1817167
0.1995303; 5.1150720; 23.1954921; 0.8279593; -0.9226089; 2.3621366; 1.1466973
0.2992954; 5.0409618; 23.2695908; 0.7475192; -0.6318166; 2.4100810; 1.0917697
0.3990606; 4.9764786; 23.3429067; 0.6993718; -0.3770779; 2.4548587; 1.1107000
0.4988257; 4.9116061; 23.4226162; 0.6697149; -0.2123714; 2.4995899; 1.1232585
0.5985909; 4.8510895; 23.5004118; 0.6542509; -0.1063838; 2.5440271; 1.1430517
0.6983560; 4.7898695; 23.5808752; 0.6480290; -0.0188533; 2.5884643; 1.2005132
0.7981212; 4.7291792; 23.6609901; 0.6497489; 0.0515849; 2.6343284; 1.2277775
0.8978863; 4.6684860; 23.7402510; 0.6584619; 0.1246388; 2.6804225; 1.3000767
0.9976515; 4.6064307; 23.8192485; 0.6737809; 0.1578466; 2.7283822; 1.3670866
1.0974166; 4.5434844; 23.8968485; 0.6890754; 0.1478620; 2.7779209; 1.4215543
1.1971818; 4.4799267; 23.9728897; 0.7031785; 0.1382668; 2.8285134; 1.5103793
1.2969469; 4.4145976; 24.0488945; 0.7167156; 0.1312509; 2.8812939; 1.5535328
1.3967121; 4.3491184; 24.1230941; 0.7291819; 0.1183915; 2.9345922; 1.6351850
1.4964772; 4.2819491; 24.1974407; 0.7398620; 0.0941368; 2.9896655; 1.6759389
1.5962424; 4.2147839; 24.2703981; 0.7478374; 0.0649672; 3.0450781; 1.7466753
1.6960075; 4.1466244; 24.3434955; 0.7524303; 0.0263909; 3.1017762; 1.7852631
1.7957726; 4.0786488; 24.4160136; 0.7530781; -0.0114691; 3.1586753; 1.8380019
1.8955378; 4.0105539; 24.4888141; 0.7504552; -0.0410565; 3.2162037; 1.8728924
1.9953029; 3.9427335; 24.5619161; 0.7450155; -0.0635905; 3.2737845; 1.9104590
2.0950681; 3.8754114; 24.6353910; 0.7383175; -0.0708083; 3.3314951; 1.9447022
2.1948332; 3.8084520; 24.7095143; 0.7308926; -0.0777081; 3.3892310; 1.9800154
2.2945984; 3.7422045; 24.7840023; 0.7228248; -0.0841573; 3.4470219; 2.0140100
2.3943635; 3.6764645; 24.8591810; 0.7141248; -0.0888828; 3.5048275; 2.0486130
2.4941287; 3.6115027; 24.9348088; 0.7052117; -0.0899303; 3.5626642; 2.0817390
2.5938938; 3.5471231; 25.0111337; 0.6961954; -0.0898541; 3.6204898; 2.1143506
2.6936590; 3.4835214; 25.0879196; 0.6873661; -0.0872838; 3.6782908; 2.1479877
2.7934241; 3.4205016; 25.1653663; 0.6787877; -0.0837949; 3.7360958; 2.1818555
2.8931893; 3.3582143; 25.2432302; 0.6707340; -0.0777744; 3.7939106; 2.2178602
2.9929544; 3.2964545; 25.3216749; 0.6632753; -0.0708946; 3.8517903; 2.2589936
3.0927196; 3.2353217; 25.4004594; 0.6566941; -0.0611299; 3.9098626; 2.2979176
3.1924847; 3.1746047; 25.4797012; 0.6510799; -0.0507498; 3.9680638; 2.3517929
3.2922499; 3.1143447; 25.5591721; 0.6466796; -0.0375157; 4.0267585; 2.3904316
3.3920150; 3.0543361; 25.6389299; 0.6435970; -0.0235586; 4.0855535; 2.4475650
3.4917801; 2.9945446; 25.7187804; 0.6421655; -0.0051536; 4.1448897; 2.4611383
3.5915453; 2.9347760; 25.7986859; 0.6425694; 0.0135066; 4.2037106; 2.3038352
3.6913104; 2.8748935; 25.8785136; 0.6449753; 0.0347275; 4.2580356; 2.3178386
3.7910756; 2.8147658; 25.9580919; 0.6495019; 0.0558415; 4.3120003; 2.0461552
3.8908407; 2.7541531; 26.0374009; 0.6559055; 0.0724836; 4.3590844; 2.0681608
3.9906059; 2.6930380; 26.1161799; 0.6639665; 0.0892303; 4.4061635; 1.7424104
4.0903710; 2.6311619; 26.1945042; 0.6734520; 0.1008314; 4.4454405; 1.7578735
4.1901362; 2.5685637; 26.2721245; 0.6840850; 0.1124294; 4.4847174; 1.4834178
4.2899013; 2.5050558; 26.3491025; 0.6956334; 0.1187796; 4.5175963; 1.4808478
4.3896665; 2.4406778; 26.4252781; 0.7077831; 0.1248499; 4.5501814; 1.2799353
4.4894316; 2.3753344; 26.5006772; 0.7204106; 0.1280164; 4.5781586; 1.2680025
4.5891968; 2.3090472; 26.5752201; 0.7333221; 0.1308392; 4.6057075; 1.1358197
4.6889619; 2.2417946; 26.6488977; 0.7463265; 0.1293432; 4.6302453; 1.1219179
4.7887271; 2.1735891; 26.7217097; 0.7591235; 0.1271801; 4.6543559; -0.4941763
4.8884922; 2.1044851; 26.7936453; 0.7713224; 0.1159321; 4.6437512; -0.8072979
4.9882574; 2.0345362; 26.8647947; 0.7822411; 0.1029373; 4.6263749; -3.0858111
5.0880225; 1.9638743; 26.9352067; 0.7918996; 0.0909013; 4.5593456; -3.6102091
5.1877876; 1.8925625; 27.0049890; 0.8003820; 0.0791376; 4.4796524; -3.6200224
5.2875528; 1.8207112; 27.0741927; 0.8078146; 0.0706750; 4.3982931; -3.5770244
5.3873179; 1.7483642; 27.1428971; 0.8144974; 0.0632903; 4.3163940; -3.5732554
5.4870831; 1.6755920; 27.2111378; 0.8204053; 0.0548419; 4.2329995; -3.5286255
5.5868482; 1.6024426; 27.2789839; 0.8254346; 0.0459801; 4.1490019; -2.6247872
5.6866134; 1.5289851; 27.3464817; 0.8299073; 0.0469335; 4.0853999; -2.1768005
5.7863785; 1.4552062; 27.4136392; 0.8348783; 0.0527126; 4.0318922; -1.1615547
5.8861437; 1.3810851; 27.4804049; 0.8402120; 0.0516653; 4.0030475; -0.5612614
5.9859088; 1.3066130; 27.5467959; 0.8451108; 0.0465404; 3.9890350; -0.2346256
6.0856740; 1.2318324; 27.6128490; 0.8491948; 0.0308830; 3.9831628; 0.0022365
6.1854391; 1.1568546; 27.6786691; 0.8511136; 0.0075839; 3.9832188; -0.0432599
6.2852043; 1.0818137; 27.7444444; 0.8506992; -0.0160387; 3.9821351; -0.0832752
6.3849694; 1.0068925; 27.8103273; 0.8479040; -0.0400169; 3.9800483; -0.1121853
6.4847346; 0.9322249; 27.8765170; 0.8427470; -0.0625577; 3.9772352; -0.1426332
6.5844997; 0.8579784; 27.9431649; 0.8354570; -0.0836135; 3.9736558; -0.1608275
6.6842649; 0.7842997; 28.0104204; 0.8261201; -0.1020022; 3.9696159; -0.1834643
6.7840300; 0.7112989; 28.0784293; 0.8152010; -0.1168871; 3.9650024; -0.1936434
6.8837951; 0.6391090; 28.1472719; 0.8028304; -0.1301993; 3.9601270; -0.2083720
6.9835603; 0.5677986; 28.2170652; 0.7892825; -0.1413925; 3.9548741; -0.2124278
7.0833254; 0.4975145; 28.2878201; 0.7747484; -0.1456581; 3.9495118; -0.2192369
7.1830906; 0.4282386; 28.3596055; 0.7606006; -0.1378846; 3.9439700; -0.2182812
7.2828557; 0.3600113; 28.4322825; 0.7469726; -0.1461654; 3.9384446; -0.2167876
7.3826209; 0.2928555; 28.5059699; 0.7305182; -0.1836025; 3.9329493; -0.2130136
7.4823860; 0.2266306; 28.5813517; 0.7113927; -0.1524944; 3.9275421; -0.2054707
7.5821512; 0.1613977; 28.6577837; 0.7044260; 0.0155491; 3.9223194; -0.2064054
7.6819163; 0.0951554; 28.7350908; 0.7159843; 0.2210943; 3.9170659; -0.2087507
7.7816815; 0.0272027; 28.8106001; 0.7570809; 0.6840482; 3.9117456; -0.2327348
7.8814466; -0.0458871; 28.8791376; 0.9203670; 3.2472459; 3.9058054; -0.2181823
