# c1cd4ce6-38b1-402b-9080-3591132d2311
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.3096639; 23.0917997; 1.5075815; -0.9641610; 3.5016262; -0.0678337
0.1990102; 5.1127761; 23.1224486; 1.3301812; -0.8140852; 3.4977689; 1.7948241
0.3980204; 4.9240350; 23.1843830; 1.1812402; -0.6924274; 3.5984391; 2.7742528
0.5970306; 4.7456417; 23.2715628; 1.0550754; -0.5767247; 3.7487295; 3.6134924
0.7960409; 4.5782640; 23.3786875; 0.9516906; -0.4616461; 3.9358883; 4.5378876
0.9950511; 4.4215298; 23.5005855; 0.8718549; -0.3410769; 4.1590130; 4.9531272
1.1940613; 4.2727064; 23.6334687; 0.8160407; -0.2215178; 4.3896281; 4.9135929
1.3930715; 4.1312815; 23.7721472; 0.7754722; -0.1880152; 4.6070104; 4.8743741
1.5920817; 3.9946211; 23.9165537; 0.7411367; -0.1604269; 4.8129664; 4.8354683
1.7910919; 3.8619636; 24.0660492; 0.7111199; -0.1402314; 5.0089181; 4.7968731
1.9901021; 3.7347545; 24.2176428; 0.6861796; -0.1113486; 5.1960094; 4.7585859
2.1891124; 3.6098002; 24.3734439; 0.6665286; -0.0899109; 5.3751771; 4.7206044
2.3881226; 3.4883262; 24.5306906; 0.6491184; -0.0854692; 5.5471998; 4.6829260
2.5871328; 3.3693585; 24.6902306; 0.6324713; -0.0820660; 5.7127337; 4.6455483
2.7861430; 3.2526780; 24.8521692; 0.6163429; -0.0796744; 5.8723376; 4.6084689
2.9851532; 3.1391510; 25.0150816; 0.6011472; -0.0724943; 6.0264927; 4.5716856
3.1841634; 3.0272762; 25.1806755; 0.5874206; -0.0649274; 6.1756164; 4.5351958
3.3831736; 2.9182650; 25.3465638; 0.5757202; -0.0531338; 6.3200742; 4.4989972
3.5821839; 2.8105058; 25.5143901; 0.5662409; -0.0415042; 6.4601882; 4.4630876
3.7811941; 2.7044040; 25.6826630; 0.5593482; -0.0278866; 6.5962437; 4.4274646
3.9802043; 2.5990700; 25.8517937; 0.5551285; -0.0142657; 6.7284956; 4.3921259
4.1792145; 2.4943115; 26.0210677; 0.5536983; -0.0000950; 6.8571721; 4.3570693
4.3782247; 2.3894540; 26.1905099; 0.5550683; 0.0135624; 6.9824789; 4.3222926
4.5772349; 2.2843221; 26.3593740; 0.5590975; 0.0270602; 7.1046022; 4.2877933
4.7762451; 2.1779756; 26.5281651; 0.5657216; 0.0387139; 7.2237110; 4.2535695
4.9752554; 2.0709160; 26.6952176; 0.5745244; 0.0502083; 7.3399597; -2.5184213
5.1742656; 1.9613499; 26.8625202; 0.5853252; 0.0574881; 7.2713565; -9.8404907
5.3732758; 1.8508074; 27.0271647; 0.5974654; 0.0641648; 6.9968500; -9.8381931
5.5722860; 1.7373179; 27.1916697; 0.6103763; 0.0651454; 6.7111927; -9.9639600
5.7712962; 1.6221806; 27.3540151; 0.6233161; 0.0627114; 6.4089194; -10.2398170
5.9703064; 1.5053862; 27.5144425; 0.6349935; 0.0548302; 6.0826468; -10.7037411
6.1693166; 1.3859220; 27.6748827; 0.6445139; 0.0385335; 5.7217378; -11.3919770
6.3683269; 1.2664287; 27.8328287; 0.6503254; 0.0270574; 5.3107480; -11.3115579
6.5673371; 1.1453267; 27.9909043; 0.6578595; 0.0490994; 4.8684508; -8.7369124
6.7663473; 1.0222359; 28.1477601; 0.6776692; 0.1813980; 4.4971484; -5.9568436
6.9653575; 0.8941866; 28.2992140; 0.7320960; 0.3585412; 4.2253282; -4.1188801
7.1643677; 0.7555573; 28.4414629; 0.8178249; 0.5061223; 4.0266611; -3.4432519
7.3633779; 0.6033117; 28.5694503; 0.9284972; 0.5965172; 3.8527283; -3.2124508
7.5623881; 0.4374071; 28.6783318; 1.0538513; 0.6678690; 3.6830550; -2.8634631
7.7613984; 0.2580572; 28.7644908; 1.1947537; 0.7553779; 3.5249365; -0.7993670
7.9604086; 0.0677871; 28.8223137; 1.3630962; 0.9451894; 3.4795133; -0.2408652
8.1594188; -0.1295583; 28.8440256; 1.5604280; 0.9990722; 3.4657097; -0.2408652
8.3584290; -0.3269495; 28.8264443; 1.7582762; 0.9772537; 3.4518509; 0.1168117
8.5574392; -0.5183341; 28.7708937; 1.9457265; 0.9001481; 3.4585789; 0.9927629
8.7564494; -0.6951751; 28.6835710; 2.1079782; 0.7426267; 3.5152394; 2.5756319
8.9554596; -0.8582446; 28.5707433; 2.2372721; 0.5384261; 3.6581501; 4.5263917
9.1544699; -1.0102204; 28.4392703; 2.3237613; 0.3269428; 3.8966214; 4.9955149
9.3534801; -1.1513922; 28.3008242; 2.3599872; 0.0487753; 4.1439082; -6.9207487
9.5524903; -1.2930665; 28.1591010; 2.3437426; -0.2238588; 3.7970220; -5.6935283
9.7515005; -1.4400577; 28.0247692; 2.2682598; -0.5390519; 3.4858622; -3.2069815
9.9505107; -1.6009015; 27.9066081; 2.1311482; -0.8286224; 3.2976948; -0.7858420
10.1495209; -1.7773642; 27.8173039; 1.9383153; -1.0817982; 3.2499246; -0.2101278
10.3485311; -1.9691470; 27.7666995; 1.7171194; -1.1452158; 3.2370318; -0.2101278
10.5475414; -2.1679567; 27.7603481; 1.4917752; -1.0581816; 3.2240874; 0.7920276
10.7465516; -2.3634990; 27.7960872; 1.2904825; -0.9919494; 3.2726110; 1.1614671
10.9455618; -2.5529612; 27.8702113; 1.1139671; -0.7500889; 3.3424946; 3.3957616
11.1445720; -2.7254614; 27.9705572; 0.9785617; -0.5909831; 3.5389056; 4.3474685
11.3435822; -2.8816282; 28.0858365; 0.9077662; -0.1744947; 3.7754780; 1.1452951
11.5425924; -3.0348726; 28.2117812; 0.8515581; -0.3632863; 3.8353729; -4.1447207
11.7416026; -3.1773189; 28.3484803; 0.7519168; -0.6215112; 3.6139177; -2.6940170
11.9406129; -3.3024697; 28.5018045; 0.6114399; -0.7963201; 3.4623876; -1.6141935
12.1396231; -3.4027174; 28.6742305; 0.4372693; -0.9354537; 3.3683298; -0.2831854
12.3386333; -3.4692334; 28.8629306; 0.2358050; -1.0631306; 3.3515567; -0.2234756
12.5376435; -3.4950163; 29.0592119; 0.0249331; -1.0768142; 3.3382607; -0.2234756
12.7366537; -3.4788448; 29.2568205; -0.1837247; -0.9577275; 3.3249115; 1.1905956
12.9356639; -3.4249744; 29.4492897; -0.3561272; -0.7861930; 3.3954260; 2.7048508
