# e543931b-91e2-407b-bb72-0e9a5b8cabf8
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 5.1810264; 23.5855685; 1.4256812; -0.7210343; 3.3496249; 3.6850044
0.1998492; 4.9872877; 23.6281421; 1.2838454; -0.7043147; 3.5627065; 2.8056830
0.3996985; 4.8011475; 23.6969913; 1.1545813; -0.5550596; 3.7167600; 4.0552129
0.5995477; 4.6215027; 23.7871998; 1.0621431; -0.3932077; 3.9287616; 4.9904712
0.7993970; 4.4514751; 23.8907004; 0.9867476; -0.3653468; 4.1749074; 4.9504709
0.9992462; 4.2892744; 24.0064563; 0.9154969; -0.3546746; 4.4055133; 4.7270715
1.1990955; 4.1334336; 24.1353868; 0.8436911; -0.3559492; 4.6149703; 3.9919125
1.3989447; 3.9901953; 24.2716692; 0.7786768; -0.3025331; 4.7847165; 4.6148601
1.5987940; 3.8529421; 24.4190790; 0.7223474; -0.2521012; 4.9737375; 4.8039158
1.7986432; 3.7247464; 24.5713740; 0.6793611; -0.1818635; 5.1631563; 4.7654108
1.9984925; 3.6011652; 24.7295748; 0.6486979; -0.1311450; 5.3444279; 4.7272144
2.1983417; 3.4824195; 24.8902185; 0.6253043; -0.1036769; 5.5183667; 4.6893241
2.3981910; 3.3666622; 25.0538318; 0.6069687; -0.0803142; 5.6856562; 4.6517376
2.5980402; 3.2538210; 25.2189061; 0.5929389; -0.0602379; 5.8468777; 4.6144523
2.7978894; 3.1427054; 25.3857348; 0.5829377; -0.0384350; 6.0025302; 4.5774659
2.9977387; 3.0332411; 25.5528501; 0.5776639; -0.0141991; 6.1530460; 4.5407759
3.1975879; 2.9236617; 25.7211693; 0.5773990; 0.0120342; 6.2988027; 4.5043800
3.3974372; 2.8146813; 25.8876759; 0.5826618; 0.0416346; 6.4401327; 4.4682759
3.5972864; 2.7030151; 26.0553031; 0.5932175; 0.0606756; 6.5773302; 4.4324611
3.7971357; 2.5913862; 26.2185456; 0.6069446; 0.0777233; 6.7106573; 4.3969334
3.9969849; 2.4751018; 26.3832848; 0.6222214; 0.0734520; 6.8403486; 4.3616905
4.1968342; 2.3578237; 26.5443532; 0.6363284; 0.0689517; 6.9666154; -0.0755436
4.3966834; 2.2383089; 26.7038349; 0.6498050; 0.0661307; 6.9644479; -9.0437532
4.5965327; 2.1157093; 26.8628462; 0.6645702; 0.0859106; 6.6999075; -8.1541911
4.7963819; 1.9914514; 27.0183902; 0.6844271; 0.1124352; 6.4520960; -7.5288315
4.9962311; 1.8635528; 27.1713529; 0.7091386; 0.1358260; 6.2145217; -7.3996377
5.1960804; 1.7309156; 27.3215757; 0.7378820; 0.1490501; 5.9718218; -7.3642608
5.3959296; 1.5946734; 27.4669254; 0.7686708; 0.1617361; 5.7200675; -7.2931431
5.5957789; 1.4538509; 27.6078016; 0.8021585; 0.1779799; 5.4593144; -6.5281237
5.7956281; 1.3077243; 27.7437347; 0.8423293; 0.2212636; 5.2148665; -4.8338606
5.9954774; 1.1565372; 27.8722096; 0.8935437; 0.3037178; 5.0262059; -3.0155008
6.1953266; 0.9970356; 27.9920655; 0.9620459; 0.3935136; 4.9048399; -0.9733517
6.3951759; 0.8272118; 28.0998798; 1.0513306; 0.4859339; 4.8650187; -0.8495185
6.5950251; 0.6515651; 28.1892750; 1.1489637; 0.4980230; 4.8299955; -0.8228140
6.7948744; 0.4637889; 28.2624554; 1.2494093; 0.4999410; 4.7958293; -0.4575620
6.9947236; 0.2717346; 28.3157884; 1.3513073; 0.5259215; 4.7767240; -0.4575620
7.1945729; 0.0742676; 28.3488440; 1.4585337; 0.5261831; 4.7575419; -0.3636308
7.3944221; -0.1257237; 28.3609547; 1.5612473; 0.5007773; 4.7422423; 0.2871081
7.5942713; -0.3248442; 28.3532105; 1.6554586; 0.4287864; 4.7543263; 1.8545945
7.7941206; -0.5240194; 28.3282213; 1.7329965; 0.3462934; 4.8316558; 3.4476695
7.9939698; -0.7199794; 28.2897949; 1.7921954; 0.2406905; 4.9722154; 4.8042194
8.1938191; -0.9145500; 28.2417755; 1.8298477; 0.1366205; 5.1617018; 1.8061012
8.3936683; -1.1080915; 28.1883496; 1.8469338; 0.0329244; 5.2311625; -10.7429458
8.5935176; -1.2998925; 28.1340438; 1.8429232; -0.0745395; 4.8032408; -9.2980689
8.7933668; -1.4948387; 28.0818547; 1.8190746; -0.1596543; 4.3993974; -8.2240169
8.9932161; -1.6873771; 28.0368707; 1.7784172; -0.2550600; 4.0084374; -6.9991860
9.1930653; -1.8870161; 28.0010993; 1.7129755; -0.3969044; 3.6428020; -5.6343036
9.3929146; -2.0842062; 27.9818720; 1.6166881; -0.5978086; 3.3193349; -2.3441599
9.5927638; -2.2851803; 27.9870669; 1.4604659; -0.9778766; 3.1750633; -0.5817606
9.7926130; -2.4794923; 28.0306282; 1.2337676; -1.1794424; 3.1382316; -0.1959262
9.9924623; -2.6565090; 28.1170943; 0.9973221; -1.2282263; 3.1257297; -0.1959262
10.1923115; -2.8135260; 28.2467249; 0.7710192; -1.0249830; 3.1131776; 1.8716370
10.3921608; -2.9379672; 28.4030773; 0.5847978; -0.6577065; 3.2310935; 4.9242096
10.5920100; -3.0385971; 28.5670323; 0.5243185; -0.4171079; 3.5225225; 3.3396680
10.7918593; -3.1278200; 28.7419282; 0.4117218; -0.6807224; 3.7071586; -1.3867779
10.9917085; -3.1952904; 28.9352199; 0.2547578; -0.8247724; 3.6316294; -0.9496828
11.1915578; -3.2291416; 29.1296320; 0.0880623; -0.8827431; 3.5789866; -0.5415109
11.3914070; -3.2282865; 29.3306951; -0.0980479; -0.9299843; 3.5486200; -0.2505195
11.5912563; -3.1899482; 29.5278421; -0.2871369; -0.9605708; 3.5344832; -0.2505195
11.7911055; -3.1162317; 29.7118195; -0.4720374; -0.8847824; 3.5202897; 0.7868762
11.9909548; -3.0096527; 29.8824401; -0.6419774; -0.7928168; 3.5646813; 1.6708952
12.1908040; -2.8798658; 30.0323635; -0.7783867; -0.5904923; 3.6571583; 3.8340681
12.3906532; -2.7308987; 30.1679800; -0.8805947; -0.4174449; 3.8609945; 5.0010573
12.5905025; -2.5722142; 30.2898785; -0.9445293; -0.2253237; 4.1117142; 4.9609721
12.7903517; -2.4074135; 30.4049311; -0.9734663; -0.0931695; 4.3461577; 4.9212082
12.9902010; -2.2410662; 30.5162687; -0.9865951; -0.0369465; 4.5668464; 4.8817630
13.1900502; -2.0733260; 30.6266644; -0.9904218; -0.0220222; 4.7757009; 4.8426340
13.3898995; -1.9070783; 30.7349588; -0.9973329; -0.0488430; 4.9742248; 4.8038186
13.5897487; -1.7364216; 30.8436912; -1.0110989; -0.0902106; 5.1636220; 4.7653143
13.7895980; -1.5674905; 30.9470297; -1.0343649; -0.1441269; 5.3448742; -1.5017748
13.9894472; -1.3942904; 31.0463067; -1.0678939; -0.1925742; 5.2884235; -6.2505980
14.1892965; -1.2169987; 31.1390312; -1.1117323; -0.2457940; 5.0466889; -5.2920524
14.3891457; -1.0367239; 31.2223576; -1.1659183; -0.3072845; 4.8325815; -4.1764860
14.5889949; -0.8512576; 31.2946996; -1.2341437; -0.3808416; 4.6566628; -2.4587377
14.7888442; -0.6601784; 31.3527761; -1.3206595; -0.4809450; 4.5499181; -0.7730844
14.9886934; -0.4648842; 31.3922147; -1.4254169; -0.5705880; 4.5158337; -0.4056938
15.1885427; -0.2660858; 31.4093924; -1.5444376; -0.5931609; 4.4978438; -0.4056938
15.3883919; -0.0660465; 31.4029554; -1.6606478; -0.5667040; 4.4797816; 0.2246906
15.5882412; 0.1316294; 31.3739923; -1.7709790; -0.5387401; 4.4897942; 0.7356974
15.7880904; 0.3245577; 31.3240675; -1.8764833; -0.5213940; 4.5224229; 0.9261483
15.9879397; 0.5118656; 31.2541092; -1.9795719; -0.5077172; 4.5631666; 1.0105014
16.1877889; 0.6914665; 31.1653205; -2.0798072; -0.4934433; 4.6072101; 1.1003200
16.3876382; 0.8603704; 31.0600853; -2.1751616; -0.4640465; 4.6546946; 1.5114024
16.5874874; 1.0194723; 30.9391965; -2.2646859; -0.4254513; 4.7191405; 2.0784798
16.7873367; 1.1681795; 30.8048133; -2.3449502; -0.3763503; 4.8063554; 2.8426559
16.9871859; 1.3054559; 30.6607832; -2.4130780; -0.3071020; 4.9231349; 4.0706477
17.1870351; 1.4344690; 30.5076110; -2.4677845; -0.2351022; 5.0856945; 4.7813311
17.3868844; 1.5559371; 30.3488327; -2.5066543; -0.1552281; 5.2702353; 4.7430071
17.5867336; 1.6723048; 30.1865290; -2.5297673; -0.0748533; 5.4471233; 4.7049903
17.7865829; 1.7866650; 30.0218480; -2.5368456; 0.0016857; 5.6170927; 4.6672781
17.9864321; 1.9002834; 29.8579411; -2.5328493; 0.0381310; 5.7807642; 4.6298683
18.1862814; 2.0154797; 29.6944174; -2.5218882; 0.0677473; 5.9386687; 4.5927583
18.3861306; 2.1327701; 29.5325735; -2.5064168; 0.0869720; 6.0912646; 4.5559458
18.5859799; 2.2527353; 29.3728637; -2.4883133; 0.0885583; 6.2389509; 4.5194283
18.7858291; 2.3757672; 29.2149643; -2.4712657; 0.0818287; 6.3820778; 4.4832035
18.9856784; 2.5009693; 29.0595190; -2.4562902; 0.0679832; 6.5209545; 4.4472691
19.1855276; 2.6285718; 28.9054287; -2.4440680; 0.0541299; 6.6558556; 4.4116227
19.3853768; 2.7576733; 28.7529175; -2.4346616; 0.0400938; 6.7870268; 4.3762620
19.5852261; 2.8881044; 28.6013172; -2.4280325; 0.0260859; 6.9146886; 4.3411848
19.7850753; 3.0192376; 28.4504990; -2.4242363; 0.0119097; 7.0390399; 4.3063887
19.9849246; 3.1508687; 28.2998343; -2.4232684; -0.0022342; 7.1602612; 4.2718715
20.1847738; 3.2821287; 28.1494580; -2.4251414; -0.0163564; 7.2785164; 4.2376310
20.3846231; 3.4133887; 27.9982481; -2.4281925; -0.0141121; 7.3939553; 4.2036649
20.5844723; 3.5438854; 27.8470577; -2.4307823; -0.0117807; 7.5067153; 4.1699711
20.7843216; 3.6741623; 27.6954026; -2.4328880; -0.0092713; 7.6169223; 4.1365474
20.9841708; 3.8042018; 27.5434568; -2.4344629; -0.0063180; 7.7246927; 4.1033915
21.1840201; 3.9337052; 27.3917509; -2.4353953; -0.0030064; 7.8301339; 4.0705014
21.3838693; 4.0636972; 27.2392934; -2.4355994; 0.0010514; 7.9333454; 4.0378749
21.5837186; 4.1932283; 27.0874420; -2.4349573; 0.0055645; 8.0344198; -3.0496620
